CodFilial;DataMovimento;CodConta;CodCentroCusto;StatusLançamento;TipoLancamento;Lote;LoteItem;Valor
1001;02/01/2019;348;110;INTEGRADO;D;345040;4;66,8864
1001;02/01/2019;348;110;INTEGRADO;D;345040;5;70,4064
1001;02/01/2019;348;110;INTEGRADO;D;345040;7;151,6352
1001;02/01/2019;348;110;INTEGRADO;D;345040;9;96,1024
1001;02/01/2019;348;110;INTEGRADO;D;345040;14;212,6208
1001;02/01/2019;348;110;INTEGRADO;D;345040;15;171,8528
1001;02/01/2019;385;110;INTEGRADO;D;345040;3;123,2128
1001;02/01/2019;385;110;INTEGRADO;D;345040;8;116,1728
1001;02/01/2019;231;220;INTEGRADO;D;305432;1;90,6048
1001;02/01/2019;232;220;INTEGRADO;D;305432;2;417,3312
1001;02/01/2019;430;110;INTEGRADO;D;306334;1;35,1744
1001;02/01/2019;351;110;INTEGRADO;D;305627;3;15,6672
1001;02/01/2019;351;110;INTEGRADO;D;305627;4;48,5632
1001;02/01/2019;351;110;INTEGRADO;D;305627;5;883,4688
1001;02/01/2019;430;110;INTEGRADO;D;305735;1;4,608
1001;02/01/2019;431;110;INTEGRADO;D;305817;1;9,0496
1001;02/01/2019;383;110;INTEGRADO;D;305818;1;24,6272
1001;02/01/2019;430;110;INTEGRADO;D;308346;1;0,3584
1001;02/01/2019;430;110;INTEGRADO;D;308358;1;45,3312
1001;02/01/2019;351;110;INTEGRADO;D;305600;3;32,0064
1001;02/01/2019;351;110;INTEGRADO;D;305600;4;99,2128
1001;02/01/2019;351;110;INTEGRADO;D;305600;5;1805,0688
1001;02/01/2019;376;220;INTEGRADO;D;305656;4;854,144
1001;02/01/2019;333;110;INTEGRADO;D;305737;1;106,6944
1001;02/01/2019;430;110;INTEGRADO;D;305815;1;42,816
1001;02/01/2019;430;110;INTEGRADO;D;305184;1;7,2832
1001;02/01/2019;372;110;INTEGRADO;D;306572;2;32,96
1001;02/01/2019;372;110;INTEGRADO;D;306580;1;581,056
1001;02/01/2019;351;110;INTEGRADO;D;305380;3;3133,4208
1001;02/01/2019;232;220;INTEGRADO;D;305434;3;931,2192
1001;02/01/2019;230;220;INTEGRADO;D;305434;1;1470,3552
1001;02/01/2019;231;220;INTEGRADO;D;305434;2;202,1696
1001;02/01/2019;487;110;INTEGRADO;D;305578;3;102,848
1001;02/01/2019;376;220;INTEGRADO;D;305655;4;854,144
1001;02/01/2019;302;200;INTEGRADO;D;345042;2;2977,7152
1001;02/01/2019;231;220;INTEGRADO;D;305166;2;202,1696
1001;02/01/2019;232;220;INTEGRADO;D;305166;3;931,2192
1001;02/01/2019;230;220;INTEGRADO;D;305166;1;1470,3552
1001;02/01/2019;487;110;INTEGRADO;D;305579;3;120,8576
1001;02/01/2019;355;110;INTEGRADO;D;305722;1;12,16
1001;02/01/2019;531;220;INTEGRADO;D;345042;1;6126,08
1001;02/01/2019;531;220;INTEGRADO;D;345042;4;3063,04
1001;02/01/2019;531;220;INTEGRADO;D;345042;5;6126,08
1003;02/01/2019;230;280;INTEGRADO;D;28731;1;199,9872
1003;02/01/2019;231;280;INTEGRADO;D;28731;2;27,4944
1003;02/01/2019;232;280;INTEGRADO;D;28731;3;126,656
1003;02/01/2019;231;280;INTEGRADO;D;28732;2;27,4944
1003;02/01/2019;232;280;INTEGRADO;D;28732;3;126,656
